  -11.05490      -11.04306      -11.02958      -11.01805      -11.00720    
  -10.99810      -10.99648      -10.98655      -10.98194      -10.97167    
  -10.95028      -10.94041      -10.93285      -10.92252      -10.91954    
  -10.90495      -10.89433      -10.88587      -10.88383      -10.88014    
  -10.87655      -10.87274      -10.86240      -10.84920      -10.83594    
  -10.82773      -10.79759      -10.78790      -10.78551      -10.77434    
  -10.77182      -10.76493      -10.76252      -10.74771      -10.74731    
  -10.73736      -10.73058      -10.72721      -10.72023      -10.71696    
  -10.71247      -10.70193      -10.66566      -10.66379      -10.65817    
  -10.65392      -10.63846      -10.63058      -10.61544      -10.61382    
  -10.60646      -10.60100      -10.58845      -10.57671      -10.57539    
  -10.56954      -10.55657      -10.55629      -10.54901      -10.54731    
  -10.50927      -10.50645      -10.50590      -10.50042      -10.49152    
  -10.48530      -10.48479      -10.47506      -10.44307      -10.44136    
  -10.43994      -10.43818      -10.43660      -10.43240      -10.42023    
  -10.41733      -10.40043      -10.39698      -10.37516      -10.37305    
  -10.34746      -10.34524      -10.34430      -10.34300      -10.33394    
  -10.33195      -10.29047      -10.28734      -10.28447      -10.28309    
  -10.27910      -10.27820      -10.27356      -10.26856      -10.23908    
  -10.23746      -10.23555      -10.22787      -10.21847      -10.21379    
  -10.20510      -10.19539      -10.16493      -10.15869      -10.15306    
  -10.15156      -10.15133      -10.14530      -10.14195      -10.13564    
  -10.12727      -10.12591      -10.11860      -10.11427      -10.11289    
  -10.09397      -10.07574      -10.07062      -10.06429      -10.05567    
  -10.05462      -10.05448      -10.03945      -10.02916      -10.02851    
  -10.01293      -10.01021      -9.978977      -9.964947      -9.958989    
  -9.945388      -9.934178      -9.931263      -9.922757      -9.912971    
  -9.911757      -9.911572      -9.899426      -9.889593      -9.877584    
  -9.870976      -9.870688      -9.869522      -9.866877      -9.863240    
  -9.860237      -9.851794      -9.845523      -9.841068      -9.838154    
  -9.830721      -9.825815      -9.823826      -9.820095      -9.813502    
  -9.806925      -9.805779      -9.785227      -9.762625      -9.756680    
  -9.748720      -9.747474      -9.733452      -9.720758      -9.717371    
  -9.698624      -9.688377      -9.684380      -9.670478      -9.650472    
  -9.643341      -9.640744      -9.626386      -9.624348      -9.623227    
  -9.609897      -9.606918      -9.599622      -9.598505      -9.595207    
  -9.594232      -9.589265      -9.577173      -9.570089      -9.565144    
  -9.563907      -9.547554      -9.546543      -9.543077      -9.538563    
  -9.526090      -9.513789      -9.508932      -9.506730      -9.502085    
  -9.495543      -9.487352      -9.485466      -9.477426      -9.470026    
  -9.463142      -9.455090      -9.447939      -9.441887      -9.425011    
  -9.420070      -9.402699      -9.394135      -9.391847      -9.384341    
  -9.381160      -9.376170      -9.374632      -9.370555      -9.368825    
  -9.358173      -9.353649      -9.352530      -9.329449      -9.320077    
  -9.300165      -9.297619      -9.294641      -9.286448      -9.285612    
  -9.282613      -9.266558      -9.258764      -9.247606      -9.237346    
  -9.235894      -9.235193      -9.224754      -9.222469      -9.218693    
  -9.211331      -9.210583      -9.199414      -9.194165      -9.178860    
  -9.173345      -9.169115      -9.153939      -9.151135      -9.145576    
  -9.144390      -9.120687      -9.116963      -9.113890      -9.110826    
  -9.100069      -9.096211      -9.091812      -9.087440      -9.084861    
  -9.080701      -9.072039      -9.064780      -9.064089      -9.060746    
  -9.059258      -9.052150      -9.051270      -9.048336      -9.038633    
  -9.036678      -9.025467      -9.015051      -9.009773      -9.001976    
  -8.999011      -8.990963      -8.984967      -8.970262      -8.962528    
  -8.955514      -8.947683      -8.941764      -8.932236      -8.928470    
  -8.917885      -8.916072      -8.912207      -8.902018      -8.896445    
  -8.892722      -8.892048      -8.877366      -8.871413      -8.867496    
  -8.861823      -8.837653      -8.835630      -8.833230      -8.827540    
  -8.817772      -8.812474      -8.812254      -8.799953      -8.790073    
  -8.789600      -8.775054      -8.771654      -8.770956      -8.768684    
  -8.764323      -8.758535      -8.753646      -8.748168      -8.744854    
  -8.736979      -8.734600      -8.725522      -8.722458      -8.720951    
  -8.717478      -8.709580      -8.707391      -8.697183      -8.684725    
  -8.683016      -8.680082      -8.674580      -8.667066      -8.664797    
  -8.655402      -8.652308      -8.639342      -8.637061      -8.631229    
  -8.624929      -8.613257      -8.606050      -8.603890      -8.600370    
  -8.599463      -8.594983      -8.587311      -8.582004      -8.579623    
  -8.571465      -8.563322      -8.550948      -8.547735      -8.546397    
  -8.544044      -8.539875      -8.535032      -8.525806      -8.523114    
  -8.514984      -8.512306      -8.503213      -8.501019      -8.483745    
  -8.476539      -8.467764      -8.465251      -8.462916      -8.454521    
  -8.452291      -8.446821      -8.434216      -8.427840      -8.424987    
  -8.423538      -8.419337      -8.417212      -8.412180      -8.404287    
  -8.400358      -8.395184      -8.393788      -8.385945      -8.382393    
