 (0.3683571,-0.1491857)
 (0.3699987,-0.1450592)
 (0.3723525,-0.1388544)
 (0.3752972,-0.1305909)
 (0.3786790,-0.1202974)
 (0.3823110,-0.1080219)
 (0.3859799,-9.3852319E-02)
 (0.3894516,-7.7930450E-02)
 (0.3924917,-6.0467478E-02)
 (0.3948812,-4.1753307E-02)
 (0.3964372,-2.2151442E-02)
 (0.3970419,-2.0863120E-03)
 (0.3966492,1.7983871E-02)
 (0.3952987,3.7601069E-02)
 (0.3931064,5.6338981E-02)
 (0.3902501,7.3832437E-02)
 (0.3869453,8.9789584E-02)
 (0.3834268,0.1039967)
 (0.3799244,0.1163093)
 (0.3766504,0.1266377)
 (0.3737926,0.1349311)
 (0.3715038,0.1411608)
 (0.3699075,0.1453042)
 (0.3690888,0.1473374)
 (0.3691046,0.1472237)
 (0.3699677,0.1449121)
 (0.3716580,0.1403381)
 (0.3741071,0.1334281)
 (0.3771937,0.1241130)
 (0.3807419,0.1123470)
 (0.3845209,9.8135158E-02)
 (0.3882422,8.1564300E-02)
 (0.3915886,6.2837683E-02)
 (0.3942369,4.2302258E-02)
 (0.3959059,2.0454647E-02)
 (0.3964062,-2.0823544E-03)
 (0.3956694,-2.4613075E-02)
 (0.3937710,-4.6442337E-02)
 (0.3909063,-6.6949010E-02)
 (0.3873641,-8.5639864E-02)
 (0.3834664,-0.1021708)
 (0.3795397,-0.1163430)
 (0.3758662,-0.1280706)
 (0.3726814,-0.1373533)
 (0.3701614,-0.1442379)
 (0.3684224,-0.1487941)
 (0.3675338,-0.1510967)
 (0.3675187,-0.1512106)
 (0.3674559,-0.1513797)
 (0.3695242,-0.1463003)
 (0.3722479,-0.1392229)
 (0.3754849,-0.1302038)
 (0.3790663,-0.1193034)
 (0.3828030,-0.1066008)
 (0.3864882,-9.2204824E-02)
 (0.3899109,-7.6269068E-02)
 (0.3928635,-5.8999468E-02)
 (0.3951571,-4.0659666E-02)
 (0.3966406,-2.1568863E-02)
 (0.3972163,-2.0880557E-03)
 (0.3968459,1.7398290E-02)
 (0.3955635,3.6503639E-02)
 (0.3934623,5.4866113E-02)
 (0.3906923,7.2165646E-02)
 (0.3874370,8.8136159E-02)
 (0.3839029,0.1025699)
 (0.3803008,0.1153110)
 (0.3768349,0.1262479)
 (0.3736929,0.1353004)
 (0.3710433,0.1424060)
 (0.3690288,0.1475068)
 (0.3677675,0.1505407)
 (0.3673470,0.1514305)
 (0.3678228,0.1500794)
 (0.3692099,0.1463714)
 (0.3714763,0.1401734)
 (0.3745298,0.1313468)
 (0.3782105,0.1197712)
 (0.3822743,0.1053740)
 (0.3863990,8.8179395E-02)
 (0.3901980,6.8360053E-02)
 (0.3932640,4.6286851E-02)
 (0.3952283,2.2547329E-02)
 (0.3958266,-2.0784514E-03)
 (0.3949692,-2.6696943E-02)
 (0.3927569,-5.0415136E-02)
 (0.3894582,-7.2455637E-02)
 (0.3854501,-9.2234418E-02)
 (0.3811451,-0.1093849)
 (0.3769302,-0.1237390)
 (0.3731279,-0.1352760)
 (0.3699808,-0.1440702)
 (0.3676496,-0.1502450)
 (0.3662229,-0.1539386)
 (0.3657332,-0.1552843)
 (0.3661631,-0.1543997)
 (0.3656697,-0.1555956)
 (0.3682443,-0.1494882)
 (0.3714204,-0.1414611)
 (0.3750314,-0.1315996)
 (0.3788978,-0.1199902)
 (0.3828294,-0.1067319)
 (0.3866278,-9.1947809E-02)
 (0.3900944,-7.5795360E-02)
 (0.3930450,-5.8473162E-02)
 (0.3953129,-4.0221408E-02)
 (0.3967709,-2.1322558E-02)
 (0.3973350,-2.0889016E-03)
 (0.3969737,1.7149499E-02)
 (0.3957141,3.6062676E-02)
 (0.3936373,5.4337077E-02)
 (0.3908696,7.1689323E-02)
 (0.3875732,8.7877095E-02)
 (0.3839316,0.1027002)
 (0.3801397,0.1159990)
 (0.3763953,0.1276482)
 (0.3728880,0.1375473)
 (0.3697973,0.1456068)
 (0.3672871,0.1517411)
 (0.3655027,0.1558547)
 (0.3645692,0.1578337)
 (0.3645838,0.1575357)
 (0.3656074,0.1547902)
 (0.3676555,0.1493951)
 (0.3706781,0.1411280)
 (0.3745360,0.1297649)
 (0.3789850,0.1151226)
 (0.3836654,9.7121634E-02)
 (0.3881099,7.5865909E-02)
 (0.3917884,5.1731460E-02)
 (0.3941882,2.5418025E-02)
 (0.3949357,-2.0729401E-03)
 (0.3938993,-2.9554881E-02)
 (0.3912230,-5.5842206E-02)
 (0.3872914,-7.9937428E-02)
 (0.3826228,-0.1011462)
 (0.3777537,-0.1190979)
 (0.3731503,-0.1336932)
 (0.3691730,-0.1450157)
 (0.3660643,-0.1532517)
 (0.3639586,-0.1586250)
 (0.3629060,-0.1613605)
 (0.3628882,-0.1616582)
 (0.3638429,-0.1596901)
 (0.3629507,-0.1617544)
 (0.3661483,-0.1545154)
 (0.3698838,-0.1454380)
 (0.3739709,-0.1346280)
 (0.3782241,-0.1221920)
 (0.3824475,-0.1082413)
 (0.3864508,-9.2907935E-02)
 (0.3900492,-7.6348715E-02)
 (0.3930742,-5.8752269E-02)
 (0.3953795,-4.0338919E-02)
 (0.3968500,-2.1360302E-02)
 (0.3974175,-2.0899232E-03)
 (0.3970540,1.7185446E-02)
 (0.3957811,3.6178648E-02)
 (0.3936705,5.4615185E-02)
 (0.3908312,7.2242312E-02)
 (0.3874072,8.8838346E-02)
 (0.3835659,0.1042132)
 (0.3794885,0.1182070)
 (0.3753676,0.1306873)
 (0.3713930,0.1415390)
 (0.3677538,0.1506556)
 (0.3646338,0.1579285)
 (0.3622060,0.1632355)
 (0.3606322,0.1664291)
 (0.3600557,0.1673256)
 (0.3605971,0.1656986)
 (0.3623299,0.1612712)
 (0.3652601,0.1537174)
 (0.3692989,0.1426826)
 (0.3742225,0.1278258)
 (0.3796424,0.1088953)
 (0.3849823,8.5857324E-02)
 (0.3895315,5.9050303E-02)
 (0.3925653,2.9303364E-02)
 (0.3935334,-2.0644572E-03)
 (0.3922360,-3.3420525E-02)
 (0.3888898,-6.3135304E-02)
 (0.3840596,-8.9893699E-02)
 (0.3784780,-0.1128756)
 (0.3728592,-0.1317491)
 (0.3677778,-0.1465543)
 (0.3636235,-0.1575472)
 (0.3606133,-0.1650705)
 (0.3588342,-0.1694805)
 (0.3582760,-0.1711021)
 (0.3588599,-0.1702120)
 (0.3604672,-0.1670357)
 (0.3592307,-0.1697542)
 (0.3632012,-0.1612586)
 (0.3676327,-0.1510128)
 (0.3723220,-0.1391380)
 (0.3770720,-0.1257504)
 (0.3816915,-0.1109710)
 (0.3859940,-9.4933480E-02)
 (0.3898080,-7.7791855E-02)
 (0.3929773,-5.9723504E-02)
 (0.3953709,-4.0930826E-02)
 (0.3968918,-2.1639209E-02)
 (0.3974755,-2.0908578E-03)
 (0.3970978,1.7462816E-02)
 (0.3957801,3.6769342E-02)
